0,1,-1
0.01,0.99042,-0.99042
0.02,0.96185,-0.96185
0.03,0.91484,-0.91484
0.04,0.85029,-0.85029
0.05,0.76945,-0.76945
0.06,0.67385,-0.67385
0.07,0.56534,-0.56534
0.08,0.44599,-0.44599
0.09,0.3181,-0.3181
0.1,0.1841,-0.1841
0.11,0.046575,-0.046575
0.12,-0.091843,0.091843
0.13,-0.2285,0.2285
0.14,-0.36078,0.36078
0.15,-0.48614,0.48614
0.16,-0.60218,0.60218
0.17,-0.70668,0.70668
0.18,-0.79763,0.79763
0.19,-0.87329,0.87329
0.2,-0.93221,0.93221
0.21,-0.97327,0.97327
0.22,-0.99566,0.99566
0.23,-0.99897,0.99897
0.24,-0.98313,0.98313
0.25,-0.94844,0.94844
0.26,-0.89558,0.89558
0.27,-0.82554,0.82554
0.28,-0.73968,0.73968
0.29,-0.63964,0.63964
0.3,-0.52734,0.52734
0.31,-0.40493,0.40493
0.32,-0.27476,0.27476
0.33,-0.13932,0.13932
0.34,-0.0012108,0.0012108
0.35,0.13692,-0.13692
0.36,0.27243,-0.27243
0.37,0.40272,-0.40272
0.38,0.52528,-0.52528
0.39,0.63778,-0.63778
0.4,0.73805,-0.73805
0.41,0.82417,-0.82417
0.42,0.8945,-0.8945
0.43,0.94767,-0.94767
0.44,0.98268,-0.98268
0.45,0.99886,-0.99886
0.46,0.99588,-0.99588
0.47,0.97382,-0.97382
0.48,0.93309,-0.93309
0.49,0.87447,-0.87447
0.5,0.79909,-0.79909
0.51,0.70839,-0.70839
0.52,0.60411,-0.60411
0.53,0.48825,-0.48825
0.54,0.36303,-0.36303
0.55,0.23086,-0.23086
0.56,0.094254,-0.094254
0.57,-0.044156,0.044156
0.58,-0.18172,0.18172
0.59,-0.3158,0.3158
0.6,-0.44382,0.44382
0.61,-0.56334,0.56334
0.62,-0.67206,0.67206
0.63,-0.7679,0.7679
0.64,-0.84902,0.84902
0.65,-0.91386,0.91386
0.66,-0.96118,0.96118
0.67,-0.99008,0.99008
0.68,-1,1
0.69,-0.99075,0.99075
0.7,-0.9625,0.9625
0.71,-0.91581,0.91581
0.72,-0.85156,0.85156
0.73,-0.77099,0.77099
0.74,-0.67564,0.67564
0.75,-0.56734,0.56734
0.76,-0.44816,0.44816
0.77,-0.32039,0.32039
0.78,-0.18648,0.18648
0.79,-0.048994,0.048994
0.8,0.089431,-0.089431
0.81,0.22614,-0.22614
0.82,0.35852,-0.35852
0.83,0.48402,-0.48402
0.84,0.60024,-0.60024
0.85,0.70496,-0.70496
0.86,0.79617,-0.79617
0.87,0.87211,-0.87211
0.88,0.93134,-0.93134
0.89,0.97271,-0.97271
0.9,0.99543,-0.99543
0.91,0.99908,-0.99908
0.92,0.98357,-0.98357
0.93,0.94921,-0.94921
0.94,0.89665,-0.89665
0.95,0.8269,-0.8269
0.96,0.74131,-0.74131
0.97,0.6415,-0.6415
0.98,0.5294,-0.5294
0.99,0.40714,-0.40714
1,0.27709,-0.27709
1.01,0.14172,-0.14172
1.02,0.0036323,-0.0036323
1.03,-0.13452,0.13452
1.04,-0.2701,0.2701
1.05,-0.4005,0.4005
1.06,-0.52322,0.52322
1.07,-0.63591,0.63591
1.08,-0.73641,0.73641
1.09,-0.8228,0.8228
1.1,-0.89341,0.89341
1.11,-0.9469,0.9469
1.12,-0.98223,0.98223
1.13,-0.99874,0.99874
1.14,-0.9961,0.9961
1.15,-0.97437,0.97437
1.16,-0.93396,0.93396
1.17,-0.87564,0.87564
1.18,-0.80054,0.80054
1.19,-0.7101,0.7101
1.2,-0.60604,0.60604
1.21,-0.49036,0.49036
1.22,-0.36529,0.36529
1.23,-0.23321,0.23321
1.24,-0.096664,0.096664
1.25,0.041736,-0.041736
1.26,0.17934,-0.17934
1.27,0.3135,-0.3135
1.28,0.44165,-0.44165
1.29,0.56134,-0.56134
1.3,0.67027,-0.67027
1.31,0.76635,-0.76635
1.32,0.84773,-0.84773
1.33,0.91287,-0.91287
1.34,0.96051,-0.96051
1.35,0.98973,-0.98973
1.36,0.99999,-0.99999
1.37,0.99107,-0.99107
1.38,0.96316,-0.96316
1.39,0.91678,-0.91678
1.4,0.85283,-0.85283
1.41,0.77253,-0.77253
1.42,0.67742,-0.67742
1.43,0.56933,-0.56933
1.44,0.45032,-0.45032
1.45,0.32268,-0.32268
1.46,0.18886,-0.18886
1.47,0.051412,-0.051412
1.48,-0.087019,0.087019
1.49,-0.22378,0.22378
1.5,-0.35626,0.35626
1.51,-0.4819,0.4819
1.52,-0.59831,0.59831
1.53,-0.70324,0.70324
1.54,-0.7947,0.7947
1.55,-0.87092,0.87092
1.56,-0.93045,0.93045
1.57,-0.97214,0.97214
1.58,-0.9952,0.9952
1.59,-0.99918,0.99918
1.6,-0.984,0.984
1.61,-0.94997,0.94997
1.62,-0.89772,0.89772
1.63,-0.82826,0.82826
1.64,-0.74293,0.74293
1.65,-0.64336,0.64336
1.66,-0.53145,0.53145
1.67,-0.40935,0.40935
1.68,-0.27941,0.27941
1.69,-0.14411,0.14411
1.7,-0.0060539,0.0060539
1.71,0.13212,-0.13212
1.72,0.26777,-0.26777
1.73,0.39828,-0.39828
1.74,0.52115,-0.52115
1.75,0.63404,-0.63404
1.76,0.73477,-0.73477
1.77,0.82142,-0.82142
1.78,0.89232,-0.89232
1.79,0.94612,-0.94612
1.8,0.98178,-0.98178
1.81,0.99861,-0.99861
1.82,0.99631,-0.99631
1.83,0.97491,-0.97491
1.84,0.93482,-0.93482
1.85,0.87681,-0.87681
1.86,0.80199,-0.80199
1.87,0.7118,-0.7118
1.88,0.60796,-0.60796
1.89,0.49247,-0.49247
1.9,0.36754,-0.36754
1.91,0.23557,-0.23557
1.92,0.099074,-0.099074
1.93,-0.039317,0.039317
1.94,-0.17695,0.17695
1.95,-0.3112,0.3112
1.96,-0.43948,0.43948
1.97,-0.55933,0.55933
1.98,-0.66847,0.66847
1.99,-0.76479,0.76479
2,-0.84645,0.84645
2.01,-0.91188,0.91188
2.02,-0.95983,0.95983
2.03,-0.98939,0.98939
2.04,-0.99997,0.99997
2.05,-0.99139,0.99139
2.06,-0.96381,0.96381
2.07,-0.91775,0.91775
2.08,-0.85409,0.85409
2.09,-0.77407,0.77407
2.1,-0.6792,0.6792
2.11,-0.57132,0.57132
2.12,-0.45248,0.45248
2.13,-0.32497,0.32497
2.14,-0.19124,0.19124
2.15,-0.05383,0.05383
2.16,0.084606,-0.084606
2.17,0.22142,-0.22142
2.18,0.35399,-0.35399
2.19,0.47978,-0.47978
2.2,0.59636,-0.59636
2.21,0.70152,-0.70152
2.22,0.79323,-0.79323
2.23,0.86973,-0.86973
2.24,0.92956,-0.92956
2.25,0.97157,-0.97157
2.26,0.99496,-0.99496
2.27,0.99927,-0.99927
2.28,0.98443,-0.98443
2.29,0.95072,-0.95072
2.3,0.89878,-0.89878
2.31,0.82962,-0.82962
2.32,0.74455,-0.74455
2.33,0.64521,-0.64521
2.34,0.5335,-0.5335
2.35,0.41156,-0.41156
2.36,0.28174,-0.28174
2.37,0.14651,-0.14651
2.38,0.0084754,-0.0084754
2.39,-0.12972,0.12972
2.4,-0.26543,0.26543
2.41,-0.39606,0.39606
2.42,-0.51909,0.51909
2.43,-0.63217,0.63217
2.44,-0.73313,0.73313
2.45,-0.82004,0.82004
2.46,-0.89122,0.89122
2.47,-0.94533,0.94533
2.48,-0.98131,0.98131
2.49,-0.99848,0.99848
2.5,-0.99652,0.99652
2.51,-0.97545,0.97545
2.52,-0.93568,0.93568
2.53,-0.87797,0.87797
2.54,-0.80344,0.80344
2.55,-0.7135,0.7135
2.56,-0.60988,0.60988
2.57,-0.49458,0.49458
