0,0,0,0
0.001,4.1818e-008,62.7905,0.12959
0.002,3.3402e-007,125.3332,0.53383
0.003,1.125e-006,187.3813,1.2349
0.004,2.66e-006,248.6899,2.2537
0.005,5.1799e-006,309.017,3.6095
0.006,8.9205e-006,368.1246,5.3201
0.007,1.4111e-005,425.7793,7.4017
0.008,2.0974e-005,481.7537,9.8686
0.009,2.9723e-005,535.8268,12.7336
0.01,4.0563e-005,587.7853,16.0075
0.011,5.3689e-005,637.424,19.6992
0.012,6.9283e-005,684.5471,23.8157
0.013,8.7519e-005,728.9686,28.3621
0.014,0.00010855,770.5132,33.3414
0.015,0.00013254,809.017,38.7546
0.016,0.0001596,844.3279,44.6008
0.017,0.00018986,876.3067,50.8771
0.018,0.00022341,904.8271,57.5783
0.019,0.00026036,929.7765,64.6974
0.02,0.00030076,951.0565,72.2255
0.021,0.00034467,968.5832,80.1515
0.022,0.00039214,982.2873,88.4626
0.023,0.00044317,992.1147,97.1441
0.024,0.00049779,998.0267,106.1793
0.025,0.00055597,1000,115.5499
0.026,0.00061768,998.0267,125.236
0.027,0.00068288,992.1147,135.2157
0.028,0.00075151,982.2873,145.466
0.029,0.00082348,968.5832,155.9622
0.03,0.0008987,951.0565,166.6783
0.031,0.00097706,929.7765,177.587
0.032,0.0010584,904.8271,188.6599
0.033,0.0011426,876.3067,199.8675
0.034,0.0012296,844.3279,211.1794
0.035,0.001319,809.017,222.5644
0.036,0.0014108,770.5132,233.9904
0.037,0.0015048,728.9686,245.4251
0.038,0.0016007,684.5471,256.8353
0.039,0.0016982,637.424,268.1878
0.04,0.0017973,587.7853,279.4491
0.041,0.0018976,535.8268,290.5856
0.042,0.0019989,481.7537,301.5637
0.043,0.0021009,425.7793,312.3501
0.044,0.0022033,368.1246,322.9119
0.045,0.0023059,309.017,333.2164
0.046,0.0024085,248.6899,343.2316
0.047,0.0025106,187.3813,352.9262
0.048,0.0026121,125.3332,362.2698
0.049,0.0027126,62.7905,371.2327
0.05,0.0028119,1.2246e-013,379.7866
0.051,0.0029097,-62.7905,387.9041
0.052,0.0030057,-125.3332,395.5591
0.053,0.0030996,-187.3813,402.727
0.054,0.0031911,-248.6899,409.3845
0.055,0.0032801,-309.017,415.51
